                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.19311,                 0.1967,                0.22666,                0.85068,                0.99694,                0.97464,                0.97322,                0.96399,                0.99694,                0.97464,                0.97322,                0.95643,                0.14887,                0.28481,                0.16522,                 0.8336,             0.00047839,             0.00047839,             0.00047839
                     46,                0.19377,                0.21539,                0.23087,                0.85718,                0.99704,                0.97464,                 0.9761,                0.96898,                0.99704,                0.97464,                0.97461,                0.95848,                0.15227,                0.26804,                0.16846,                0.83335,             0.00047015,             0.00047015,             0.00047015
                     47,                0.19719,                0.19139,                0.22721,                0.85316,                 0.9962,                0.97464,                0.97356,                0.96677,                 0.9962,                0.97464,                0.97356,                0.96018,                0.15154,                 0.2236,                 0.1648,                 0.8294,              0.0004619,              0.0004619,              0.0004619
                     48,                0.19408,                0.25643,                0.22553,                0.85898,                0.99628,                0.97464,                0.97391,                0.96688,                0.99628,                0.97464,                0.97391,                0.95518,                0.13233,                0.25686,                0.15297,                0.82498,             0.00045365,             0.00045365,             0.00045365
                     49,                0.19885,                0.21953,                0.23207,                0.85838,                0.99473,                0.97464,                0.97478,                0.96839,                0.99473,                0.97464,                0.97478,                0.96597,                0.15722,                 0.2563,                0.17431,                0.83371,             0.00044541,             0.00044541,             0.00044541
                     50,                0.18567,                0.20447,                0.21394,                0.85101,                0.99477,                0.97464,                0.97692,                0.97211,                0.99477,                0.97464,                0.97692,                0.96662,                0.13551,                0.25064,                 0.1738,                0.82575,             0.00043716,             0.00043716,             0.00043716
                     51,                0.19002,                0.20469,                0.21667,                0.85691,                0.99545,                0.97464,                0.97555,                0.96862,                0.99545,                0.97464,                0.97555,                0.96032,                0.13233,                0.18905,                0.15727,                0.82493,             0.00042891,             0.00042891,             0.00042891
                     52,                0.18186,                0.22897,                0.21905,                0.85614,                0.99677,                0.97464,                0.97408,                0.96462,                0.99677,                0.97464,                0.97408,                 0.9599,                0.13805,                0.24221,                0.16841,                0.82631,             0.00042066,             0.00042066,             0.00042066
                     53,                0.17437,                0.20549,                0.22004,                0.85273,                0.99711,                0.97464,                0.97381,                 0.9633,                0.99711,                0.97464,                0.97381,                0.95692,                0.14427,                0.23826,                0.16853,                0.82856,             0.00041242,             0.00041242,             0.00041242
                     54,                 0.1857,                0.17639,                0.21303,                0.85064,                0.99301,                0.97339,                0.97391,                0.96541,                0.99301,                0.97339,                0.97391,                0.95867,                0.14449,                 0.2028,                0.16014,                0.82756,             0.00040417,             0.00040417,             0.00040417
