                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.23451,                0.25526,                0.28334,                0.88729,                0.99452,                0.97904,                0.97632,                0.97178,                0.99452,                0.97904,                0.97632,                0.97059,                0.18031,                0.21659,                0.18262,                0.83852,             0.00057106,             0.00057106,             0.00057106
                     55,                0.23861,                0.20402,                0.29095,                0.87999,                0.99282,                0.97904,                0.97779,                0.96951,                0.99282,                0.97904,                0.97779,                0.96721,                0.21276,                0.20257,                0.21145,                0.86425,             0.00056725,             0.00056725,             0.00056725
                     56,                0.23224,                0.17523,                0.28058,                0.88287,                 0.9891,                0.97904,                0.97785,                0.96599,                 0.9891,                0.97904,                0.97785,                0.96809,                 0.2052,                0.21561,                0.21888,                0.85463,             0.00056345,             0.00056345,             0.00056345
                     57,                0.22941,                0.21088,                 0.2934,                0.89122,                0.99427,                0.97904,                0.97752,                0.97041,                0.99427,                0.97904,                0.97752,                0.97135,                0.18615,                0.20305,                 0.2022,                 0.8446,             0.00055964,             0.00055964,             0.00055964
                     58,                0.22723,                0.21747,                0.27205,                0.87885,                0.99077,                0.97579,                0.97788,                0.96748,                0.99077,                0.97579,                0.97788,                0.96514,                0.19383,                0.20182,                0.22488,                0.84887,             0.00055583,             0.00055583,             0.00055583
                     59,                 0.2304,                0.19405,                0.28449,                0.88302,                0.99588,                0.97904,                0.97667,                0.97101,                0.99588,                0.97904,                0.97667,                0.96857,                0.18074,                0.21787,                0.19151,                0.84798,             0.00055203,             0.00055203,             0.00055203
                     60,                0.21425,                0.20237,                0.25809,                 0.8742,                0.99456,                0.97904,                0.97864,                0.96686,                0.99456,                0.97904,                0.97864,                0.96874,                0.17506,                0.20875,                0.18924,                0.83803,             0.00054822,             0.00054822,             0.00054822
                     61,                0.22005,                 0.2473,                0.25765,                0.88395,                 0.9946,                0.97904,                0.97775,                 0.9728,                 0.9946,                0.97904,                0.97775,                0.97148,                0.17615,                0.23659,                0.18695,                0.83866,             0.00054441,             0.00054441,             0.00054441
                     62,                0.22817,                0.22518,                0.27282,                0.88242,                0.98903,                0.97904,                0.97627,                 0.9674,                0.98903,                0.97904,                0.97627,                0.96599,                0.17548,                0.23523,                0.21026,                0.83915,             0.00054061,             0.00054061,             0.00054061
                     63,                0.21861,                 0.2335,                0.25878,                0.88008,                0.99316,                0.97904,                0.97876,                0.97362,                0.99316,                0.97904,                0.97876,                0.97024,                0.18539,                 0.2114,                0.19796,                0.83981,              0.0005368,              0.0005368,              0.0005368
                     64,                0.21798,                0.21756,                0.26719,                0.88822,                0.99375,                0.97904,                 0.9832,                0.97145,                0.99375,                0.97904,                 0.9832,                0.97618,                0.19851,                0.21659,                0.20238,                0.85891,             0.00053299,             0.00053299,             0.00053299
                     65,                0.21367,                0.21627,                0.25012,                0.88044,                0.99574,                0.97904,                0.97766,                 0.9696,                0.99574,                0.97904,                0.97766,                0.97125,                0.16819,                0.19954,                0.18233,                0.83538,             0.00052919,             0.00052919,             0.00052919
                     66,                0.21363,                0.19281,                0.24822,                 0.8824,                0.99508,                0.97904,                0.97842,                0.97043,                0.99508,                0.97904,                0.97842,                0.97144,                 0.1755,                0.19503,                0.18472,                0.83563,             0.00052538,             0.00052538,             0.00052538
                     67,                0.22327,                0.19556,                0.26768,                0.88473,                0.99125,                0.97904,                0.97811,                0.96901,                0.99125,                0.97904,                0.97811,                0.96973,                 0.1693,                0.20356,                0.19983,                0.83603,             0.00052157,             0.00052157,             0.00052157
                     68,                0.22168,                0.21232,                0.26362,                0.89096,                0.99591,                0.97904,                0.97992,                0.97254,                0.99591,                0.97904,                0.97992,                0.96831,                0.16615,                0.20896,                0.17638,                0.83638,             0.00051777,             0.00051777,             0.00051777
                     69,                0.20828,                0.16871,                0.25509,                0.87865,                0.99534,                0.97904,                 0.9781,                0.97218,                0.99534,                0.97904,                 0.9781,                0.96963,                0.16332,                0.20634,                0.17635,                 0.8347,             0.00051396,             0.00051396,             0.00051396
                     70,                 0.2158,                0.21263,                0.24909,                0.88191,                0.99451,                0.97904,                0.97689,                0.96511,                0.99451,                0.97904,                0.97689,                0.96932,                0.17812,                0.19203,                0.18319,                0.84005,             0.00051015,             0.00051015,             0.00051015
                     71,                0.20707,                0.19153,                 0.2548,                0.88357,                0.99526,                0.97904,                0.97753,                0.97323,                0.99526,                0.97904,                0.97753,                0.97033,                 0.1542,                0.20383,                 0.1627,                0.82653,             0.00050635,             0.00050635,             0.00050635
                     72,                0.20971,                0.22637,                0.25309,                0.88243,                0.99514,                0.97904,                0.97878,                0.96929,                0.99514,                0.97904,                0.97878,                0.96967,                0.16294,                0.20526,                0.16547,                0.83582,             0.00050254,             0.00050254,             0.00050254
                     73,                0.21426,                0.19425,                0.24856,                0.88754,                0.99487,                0.97904,                0.98072,                0.97394,                0.99487,                0.97904,                0.98072,                0.97391,                0.16025,                0.20214,                0.16013,                0.83287,             0.00049873,             0.00049873,             0.00049873
                     74,                0.20357,                0.20764,                0.23514,                0.87116,                0.99326,                0.97904,                 0.9802,                0.97235,                0.99326,                0.97904,                 0.9802,                0.97206,                0.15474,                0.19631,                0.16094,                0.82898,             0.00049493,             0.00049493,             0.00049493
                     75,                0.21362,                0.19473,                0.24493,                0.87774,                0.99246,                0.97904,                0.97876,                 0.9712,                0.99246,                0.97904,                0.97876,                 0.9697,                0.16406,                0.21241,                0.17943,                0.83927,             0.00049112,             0.00049112,             0.00049112
                     76,                0.20406,                0.24171,                0.21954,                0.87126,                0.99568,                0.97904,                0.97747,                0.96996,                0.99568,                0.97904,                0.97747,                0.96785,                0.15076,                0.19428,                0.16658,                0.83047,             0.00048732,             0.00048732,             0.00048732
                     77,                0.20351,                0.18788,                0.22228,                0.88188,                0.98783,                0.97756,                0.97933,                0.96927,                0.98783,                0.97756,                0.97933,                0.96961,                0.14719,                0.19023,                 0.1659,                0.82663,             0.00048351,             0.00048351,             0.00048351
                     78,                0.20735,                 0.1789,                0.22585,                0.87503,                0.99567,                0.97904,                0.97978,                  0.975,                0.99567,                0.97904,                0.97978,                0.97377,                0.15238,                0.19531,                0.16008,                0.82715,              0.0004797,              0.0004797,              0.0004797
                     79,                 0.2062,                0.20513,                0.22267,                 0.8719,                0.99549,                0.97904,                0.98321,                0.97392,                0.99549,                0.97904,                0.98321,                0.97407,                 0.1453,                0.21255,                0.15572,                 0.8201,              0.0004759,              0.0004759,              0.0004759
                     80,                0.21664,                 0.1702,                0.22964,                 0.8811,                0.99413,                0.97904,                0.98181,                0.97691,                0.99413,                0.97904,                0.98181,                 0.9757,                0.14958,                0.18962,                 0.1557,                0.81726,             0.00047209,             0.00047209,             0.00047209
                     81,                0.21308,                0.21325,                0.23652,                0.88366,                0.99545,                0.97904,                0.97911,                0.97321,                0.99545,                0.97904,                0.97911,                0.97071,                 0.1641,                0.17731,                0.16505,                0.83103,             0.00046828,             0.00046828,             0.00046828
                     82,                0.20424,                0.19849,                0.22568,                0.87188,                0.99167,                0.97904,                0.97736,                0.97178,                0.99167,                0.97904,                0.97736,                0.97079,                0.16121,                0.19198,                0.16103,                0.82972,             0.00046448,             0.00046448,             0.00046448
                     83,                0.20812,                0.19473,                0.22185,                0.88682,                0.99529,                0.97904,                0.97782,                0.97268,                0.99529,                0.97904,                0.97782,                0.97139,                 0.1432,                 0.1835,                0.15036,                 0.8184,             0.00046067,             0.00046067,             0.00046067
                     84,                0.20421,                0.22153,                0.22182,                0.87853,                 0.9952,                0.97904,                0.97837,                0.97098,                 0.9952,                0.97904,                0.97837,                   0.97,                0.15057,                0.20238,                0.15837,                0.82461,             0.00045686,             0.00045686,             0.00045686
                     85,                0.21036,                0.19511,                0.22126,                0.88146,                0.99571,                0.97904,                0.97925,                 0.9747,                0.99571,                0.97904,                0.97925,                0.97355,                0.15316,                0.19871,                 0.1498,                0.82487,             0.00045306,             0.00045306,             0.00045306
                     86,                0.20855,                0.17368,                0.21964,                0.88109,                 0.9958,                0.97904,                0.97984,                0.97355,                 0.9958,                0.97904,                0.97984,                0.97321,                0.15499,                0.19725,                0.13793,                0.82538,             0.00044925,             0.00044925,             0.00044925
                     87,                0.20456,                0.21989,                0.21255,                0.87855,                0.99479,                0.97904,                0.97941,                0.97625,                0.99479,                0.97904,                0.97941,                0.97254,                0.14408,                0.21203,                0.14528,                0.82057,             0.00044544,             0.00044544,             0.00044544
                     88,                0.20509,                0.18059,                0.22105,                0.87798,                0.99279,                0.97904,                0.98003,                0.97299,                0.99279,                0.97904,                0.98003,                0.97276,                0.14879,                0.19088,                  0.154,                0.82128,             0.00044164,             0.00044164,             0.00044164
                     89,                0.21032,                0.16951,                0.22062,                 0.8798,                0.99538,                0.97904,                0.97859,                0.97327,                0.99538,                0.97904,                0.97859,                0.97342,                0.15828,                0.19333,                0.16785,                0.82698,             0.00043783,             0.00043783,             0.00043783
                     90,                0.21142,                0.16169,                0.22942,                0.88693,                0.99384,                0.97904,                0.97846,                0.96998,                0.99384,                0.97904,                0.97846,                0.96941,                0.14569,                 0.1858,                0.14977,                0.82259,             0.00043402,             0.00043402,             0.00043402
                     91,                0.19899,                0.17228,                0.23259,                0.87982,                0.99584,                0.97904,                0.97988,                0.97001,                0.99584,                0.97904,                0.97988,                0.97194,                0.15169,                0.17444,                0.15706,                0.82478,             0.00043022,             0.00043022,             0.00043022
                     92,                0.19168,                0.17499,                0.22958,                0.86905,                0.99504,                0.97904,                 0.9803,                0.97233,                0.99504,                0.97904,                 0.9803,                0.97229,                0.14456,                0.18614,                0.14799,                0.81781,             0.00042641,             0.00042641,             0.00042641
                     93,                 0.2009,                0.16924,                0.21116,                0.87439,                0.99496,                0.97904,                0.97989,                0.97558,                0.99496,                0.97904,                0.97989,                 0.9742,                0.14896,                0.16905,                0.15158,                0.82618,              0.0004226,              0.0004226,              0.0004226
                     94,                0.19682,                0.20169,                0.20959,                0.87789,                0.99499,                0.97904,                0.98028,                0.97281,                0.99499,                0.97904,                0.98028,                0.97284,                0.15083,                0.18494,                0.15255,                0.82292,              0.0004188,              0.0004188,              0.0004188
                     95,                0.20119,                0.19321,                0.20432,                0.87931,                0.99602,                0.97904,                0.97963,                0.97616,                0.99602,                0.97904,                0.97963,                0.97518,                0.15645,                0.20929,                0.14653,                0.82612,             0.00041499,             0.00041499,             0.00041499
                     96,                0.20165,                0.17178,                 0.2048,                0.87361,                0.99497,                0.97813,                0.97843,                  0.971,                0.99497,                0.97813,                0.97843,                0.97198,                0.13732,                0.18397,                0.14587,                0.81758,             0.00041118,             0.00041118,             0.00041118
                     97,                0.18955,                0.25801,                0.20157,                0.88252,                0.99493,                0.97904,                0.97961,                0.97173,                0.99493,                0.97904,                0.97961,                0.97272,                0.13628,                 0.1853,                0.14328,                0.81828,             0.00040738,             0.00040738,             0.00040738
                     98,                0.19372,                0.22786,                0.20779,                0.87403,                0.99443,                0.97904,                0.98138,                0.97514,                0.99443,                0.97904,                0.98138,                0.97486,                0.15275,                0.20513,                0.15151,                0.82422,             0.00040357,             0.00040357,             0.00040357
                     99,                0.19078,                0.18264,                0.21199,                0.87141,                0.99547,                0.97904,                0.98225,                 0.9747,                0.99547,                0.97904,                0.98225,                0.97546,                0.16327,                0.19562,                0.15214,                 0.8304,             0.00039976,             0.00039976,             0.00039976
                    100,                0.19502,                0.18937,                0.21231,                 0.8827,                0.99576,                0.97904,                0.97812,                0.97161,                0.99576,                0.97904,                0.97812,                0.97213,                0.13627,                0.17876,                0.14956,                0.82094,             0.00039596,             0.00039596,             0.00039596
                    101,                0.18665,                 0.1659,                0.19999,                0.87215,                0.99366,                0.97904,                0.97872,                  0.972,                0.99366,                0.97904,                0.97872,                0.97241,                0.14554,                0.18319,                0.14121,                0.82629,             0.00039215,             0.00039215,             0.00039215
                    102,                0.19192,                0.19774,                0.19774,                 0.8808,                0.99633,                0.97904,                0.98279,                0.97389,                0.99633,                0.97904,                0.98279,                0.97453,                0.14817,                0.20474,                0.13834,                0.82505,             0.00038835,             0.00038835,             0.00038835
                    103,                0.19482,                0.20132,                0.20574,                0.87324,                0.99633,                0.97904,                  0.982,                0.97535,                0.99633,                0.97904,                  0.982,                0.97536,                0.14889,                 0.1945,                0.13878,                0.82358,             0.00038454,             0.00038454,             0.00038454
                    104,                0.19226,                0.18324,                0.19074,                0.87882,                0.99248,                0.97242,                0.97749,                0.96219,                0.99248,                0.97242,                0.97749,                  0.969,                0.19703,                0.21889,                0.22225,                0.87154,             0.00038073,             0.00038073,             0.00038073
                    105,                0.18713,                0.16197,                0.20947,                0.87126,                0.99533,                0.97904,                0.98003,                0.97215,                0.99533,                0.97904,                0.98003,                 0.9723,                0.14981,                0.19396,                0.16042,                0.82658,             0.00037693,             0.00037693,             0.00037693
                    106,                0.18976,                0.16869,                0.20294,                0.87449,                0.99605,                0.97904,                0.97999,                0.97455,                0.99605,                0.97904,                0.97999,                0.97523,                0.15135,                0.17205,                  0.146,                0.82835,             0.00037312,             0.00037312,             0.00037312
                    107,                0.19329,                0.18931,                0.21147,                0.87188,                0.99497,                0.97904,                0.97876,                0.97184,                0.99497,                0.97904,                0.97876,                 0.9727,                0.14547,                0.18529,                0.14438,                0.82748,             0.00036931,             0.00036931,             0.00036931
