                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.1746,                 0.1937,                0.21807,                0.86255,                0.99523,                0.97904,                0.97802,                0.96943,                0.99523,                0.97904,                0.97802,                0.96847,                 0.1426,                0.17949,                0.15777,                0.82575,             0.00022086,             0.00022086,             0.00022086
                     75,                0.17976,                0.20583,                0.22292,                0.86778,                0.99582,                0.97904,                0.97896,                0.96913,                0.99582,                0.97904,                0.97896,                0.96923,                0.12708,                0.18562,                0.13583,                0.81735,             0.00021324,             0.00021324,             0.00021324
                     76,                0.17452,                0.23729,                0.19438,                0.86358,                0.99601,                0.97904,                0.97814,                 0.9687,                0.99601,                0.97904,                0.97814,                  0.968,                 0.1196,                0.19329,                0.13567,                0.81268,             0.00020563,             0.00020563,             0.00020563
                     77,                0.17652,                0.17981,                0.20258,                0.87455,                0.99588,                0.97904,                0.97911,                0.96952,                0.99588,                0.97904,                0.97911,                0.96951,                0.12684,                0.18641,                0.13834,                0.81436,             0.00019802,             0.00019802,             0.00019802
                     78,                0.18209,                 0.1743,                0.19653,                0.86988,                0.99628,                0.97904,                0.97735,                0.96772,                0.99628,                0.97904,                0.97735,                0.96809,                0.12609,                0.18033,                0.14039,                0.81322,              0.0001904,              0.0001904,              0.0001904
                     79,                0.18102,                0.19074,                0.20413,                0.86609,                  0.996,                0.97904,                0.97835,                0.96889,                  0.996,                0.97904,                0.97835,                0.96822,                0.11851,                0.17472,                0.13712,                0.80959,             0.00018279,             0.00018279,             0.00018279
                     80,                0.18364,                0.17179,                0.20682,                0.87379,                  0.996,                0.97904,                0.97815,                0.96898,                  0.996,                0.97904,                0.97815,                  0.969,                0.11808,                0.17747,                0.12559,                0.81032,             0.00017518,             0.00017518,             0.00017518
                     81,                 0.1843,                0.20736,                0.20622,                0.87566,                0.99583,                0.97904,                0.97801,                0.96969,                0.99583,                0.97904,                0.97801,                0.96957,                0.11601,                0.17803,                0.12985,                0.81039,             0.00016757,             0.00016757,             0.00016757
                     82,                0.17422,                0.17761,                0.20042,                0.86575,                0.99591,                0.97904,                0.97738,                0.96785,                0.99591,                0.97904,                0.97738,                0.96772,                0.11963,                0.17498,                0.14092,                0.81081,             0.00015995,             0.00015995,             0.00015995
                     83,                0.18042,                0.18233,                  0.196,                0.88199,                0.99601,                0.97904,                0.97729,                0.96881,                0.99601,                0.97904,                0.97729,                0.96942,                0.11943,                 0.1773,                0.13619,                  0.811,             0.00015234,             0.00015234,             0.00015234
